501 100
0 1 97348
1 2 -653948
2 3 414897
3 4 212295
4 5 432018
5 6 618321
6 7 112835
7 8 629749
8 9 80645
9 10 -2707
10 11 408969
11 12 784690
12 13 124065
13 14 -500117
14 15 -153934
15 16 -355163
16 17 -682624
17 18 -936885
18 19 -376172
19 20 219069
20 21 -854367
21 22 -573851
22 23 494568
23 24 651251
24 25 -651075
25 26 134065
26 27 -493232
27 28 130518
28 29 483328
29 30 -672385
30 31 100563
31 32 -173590
32 33 164665
33 34 -235804
34 35 -969644
35 36 -644380
36 37 815487
37 38 112043
38 39 -605328
39 40 940157
40 41 76286
41 42 -271856
42 43 224673
43 44 854768
44 45 435033
45 46 61862
46 47 -856761
47 48 729357
48 49 664673
49 50 -63418
50 51 77497
51 52 -427356
52 53 -916497
53 54 -483929
54 55 -824549
55 56 305713
56 57 175641
57 58 -428279
58 59 677745
59 60 495342
60 61 -21007
61 62 -616898
62 63 -426170
63 64 299961
64 65 545688
65 66 -602511
66 67 -72053
67 68 -947221
68 69 -950975
69 70 810022
70 71 -457824
71 72 961673
72 73 -711906
73 74 -273844
74 75 -961477
75 76 618659
76 77 963828
77 78 624070
78 79 -690353
79 80 -859149
80 81 716082
81 82 766747
82 83 217727
83 84 819228
84 85 27312
85 86 -95422
86 87 852718
87 88 -459826
88 89 48860
89 90 -798500
90 91 452149
91 92 -369977
92 93 -831224
93 94 -634925
94 95 -4617
95 96 -366758
96 97 -727084
97 98 951909
98 99 -303727
99 100 -798620
